Severity,Message
Information,au9999npsa002 has an average latency of : 0.68 : for last 24 hours
Information,Completed Performance Checks on au9999npsa002
Success,Successfully updated HTML table for au9999npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au1212npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1212npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=95177"
Information,Executing Health Check for au1212npsa003
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1212npsa003"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=95237 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=95237 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1212npsa003 is Healthy
Success,au1212npsa003 is Healthy
Information,Checking Uptime of au1212npsa003
Success,au1212npsa003 has an uptime of more than 24 hours
Information,Checking HA Status of au1212npsa003
Success,au1212npsa003 is HA
Information,Updating Capacity Property of au1212npsa003
Success,All aggregates on au1212npsa003 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1212npsa003
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1212npsa003"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=92352 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1212npsa003 has an average latency of : 0.60 : for last 24 hours
Information,Completed Performance Checks on au1212npsa003
Information,Executing Health Check for au1212npsa004
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1212npsa004"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=95184 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=95184 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1212npsa004 is Healthy
Success,au1212npsa004 is Healthy
Information,Checking Uptime of au1212npsa004
Success,au1212npsa004 has an uptime of more than 24 hours
Information,Checking HA Status of au1212npsa004
Success,au1212npsa004 is HA
Information,Updating Capacity Property of au1212npsa004
Success,All aggregates on au1212npsa004 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1212npsa004
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1212npsa004"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=92299 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1212npsa004 has an average latency of : 0.06 : for last 24 hours
Information,Completed Performance Checks on au1212npsa004
Success,Successfully updated HTML table for au1212npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au1313npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1313npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=93338"
Information,Executing Health Check for au1313npsa003
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1313npsa003"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=93345 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=93345 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1313npsa003 is Healthy
Success,au1313npsa003 is Healthy
Information,Checking Uptime of au1313npsa003
Success,au1313npsa003 has an uptime of more than 24 hours
Information,Checking HA Status of au1313npsa003
Success,au1313npsa003 is HA
Information,Updating Capacity Property of au1313npsa003
Success,All aggregates on au1313npsa003 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1313npsa003
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1313npsa003"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=93511 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1313npsa003 has an average latency of : 0.72 : for last 24 hours
Information,Completed Performance Checks on au1313npsa003
Information,Executing Health Check for au1313npsa004
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1313npsa004"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=93398 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=93398 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1313npsa004 is Healthy
Success,au1313npsa004 is Healthy
Information,Checking Uptime of au1313npsa004
Success,au1313npsa004 has an uptime of more than 24 hours
Information,Checking HA Status of au1313npsa004
Success,au1313npsa004 is HA
Information,Updating Capacity Property of au1313npsa004
Success,All aggregates on au1313npsa004 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1313npsa004
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1313npsa004"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=93564 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1313npsa004 has an average latency of : 0 : for last 24 hours
Information,Completed Performance Checks on au1313npsa004
Success,Successfully updated HTML table for au1313npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au1414npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1414npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=85853"
Information,Executing Health Check for au1414npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1414npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=85913 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=85913 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1414npsa001 is Healthy
Success,au1414npsa001 is Healthy
Information,Checking Uptime of au1414npsa001
Success,au1414npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au1414npsa001
Success,au1414npsa001 is HA
Information,Updating Capacity Property of au1414npsa001
Success,All aggregates on au1414npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1414npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1414npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=85913 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1414npsa001 has an average latency of : 0.33 : for last 24 hours
Information,Completed Performance Checks on au1414npsa001
Information,Executing Health Check for au1414npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1414npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=85860 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=85860 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1414npsa002 is Healthy
Success,au1414npsa002 is Healthy
Information,Checking Uptime of au1414npsa002
Success,au1414npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au1414npsa002
Success,au1414npsa002 is HA
Information,Updating Capacity Property of au1414npsa002
Success,All aggregates on au1414npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1414npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1414npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=85860 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1414npsa002 has an average latency of : 0.15 : for last 24 hours
Information,Completed Performance Checks on au1414npsa002
Success,Successfully updated HTML table for au1414npsc001
Information,***************************************************************************************************
Information,Executing Health Check for au1515npsc001
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.cluster WHERE ocum_report.cluster.name=au1515npsc001"
Success,"Successfully Executed SQL Query: SELECT id,name FROM ocum_report.clusternode WHERE ocum_report.clusternode.clusterId=87058"
Information,Executing Health Check for au1515npsa001
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1515npsa001"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87118 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87118 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1515npsa001 is Healthy
Success,au1515npsa001 is Healthy
Information,Checking Uptime of au1515npsa001
Success,au1515npsa001 has an uptime of more than 24 hours
Information,Checking HA Status of au1515npsa001
Success,au1515npsa001 is HA
Information,Updating Capacity Property of au1515npsa001
Success,All aggregates on au1515npsa001 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1515npsa001
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1515npsa001"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=87118 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1515npsa001 has an average latency of : 1.27 : for last 24 hours
Information,Completed Performance Checks on au1515npsa001
Information,Executing Health Check for au1515npsa002
Success,"Successfully Executed SQL Query: SELECT name,uptime,isNodeHealthy,currentMode,giveBackState FROM ocum_report.clusternode WHERE ocum_report.clusternode.name=au1515npsa002"
Success,Successfully Executed SQL Query: SELECT name FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87065 AND ocum_report.aggregate.state NOT LIKE '%online%'
Success,"Successfully Executed SQL Query: SELECT name,sizeUsedPercent FROM ocum_report.aggregate WHERE ocum_report.aggregate.nodeId=87065 AND ocum_report.aggregate.hasLocalRoot=0"
Information,Checking if any aggregates are above 75% used
Information,Starting Health Checks
Information,Checking if au1515npsa002 is Healthy
Success,au1515npsa002 is Healthy
Information,Checking Uptime of au1515npsa002
Success,au1515npsa002 has an uptime of more than 24 hours
Information,Checking HA Status of au1515npsa002
Success,au1515npsa002 is HA
Information,Updating Capacity Property of au1515npsa002
Success,All aggregates on au1515npsa002 are below 75% used capacity
Information,Completed Health Checks
Information,Starting Performance Checks on au1515npsa002
Success,"Successfully Executed SQL Query: SELECT objid,name FROM node WHERE name LIKE au1515npsa002"
Success,"Successfully Executed SQL Query: SELECT round((avgLatency/1000),2) AS avgLatency FROM sample_node WHERE objid=87065 AND (Date_Format(FROM_UNIXTIME(time/1000),'%Y:%m:%d:%H') between '2018:12:13:07' and '2018:12:14:07')"
Information,There are 288 entries in perfavgLatency Array
Information,au1515npsa002 has an average latency of : 0.29 : for last 24 hours
Information,Completed Performance Checks on au1515npsa002
Success,Successfully updated HTML table for au1515npsc001
Information,***************************************************************************************************
Success,Mgmt Server information file found
Success,Contents of E:\Scripts\morningReport\cfs_toolcheck.csv are imported successfully
Success,WSDC_Splunk +  is OK!
Success,WSDC_OCUM +  is OK!
Error,"Failed enumerating status for ""OCUM_72_WSDC"". Error Exception calling ""GetResponse"" with ""0"" argument(s): ""The request was aborted: Could not create SSL/TLS secure channel."""
Error,OCUM_72_WSDC +  may be down please check!
Error,"Failed enumerating status for ""WSDC_MTE_OCUM"". Error Exception calling ""GetResponse"" with ""0"" argument(s): ""The underlying connection was closed: An unexpected error occurred on a send."""
Error,WSDC_MTE_OCUM +  may be down please check!
Success,WSDC_Syslog +  is OK!
Success,esxau2222sp0470 +  is OK!
Success,esxau2222sp0471 +  is OK!
Success,esxau2222sp0472 +  is OK!
Success,esxau2222sp0473 +  is OK!
Success,esxau2222sp0474 +  is OK!
Success,esxau2222sp0475 +  is OK!
Success,esxau2222sp0476 +  is OK!
Success,esxau2222sp0477 +  is OK!
Success,Successfully updated HTML table for Mgmt Applicatons
Information,***************************************************************************************************
Success,RCC Mgmt Server information file found
Success,Contents of \\au1111np0055.infau.wbcau.westpac.com.au\DFM_Reports\cfs_toolcheck_rcc\2018_12_14_07_00_cfs_toolcheck_outfile.csv are imported successfully
Success,Successfully updated HTML table for RCC Mgmt Applicatons
Information,***************************************************************************************************
Information,Creating Table for Open Changes
Success,Successfully updated HTML table for Open Changes
Information,***************************************************************************************************
Information,Creating Table for DR Config
Success,Successfully updated HTML table for DR Configs
Information,***************************************************************************************************
